"AUC","Master.ID","Cell.Line"
14.461,600054,"MKN1"
16.742,608062,"MKN1"
12.098,18311,"253JBV"
14.157,23256,"253JBV"
14.362,25036,"253JBV"
14.365,26870,"253JBV"
13.885,26914,"253JBV"
14.538,27894,"253JBV"
10.09,28172,"253JBV"
13.291,32372,"253JBV"
11.03,32653,"253JBV"
13.033,33166,"253JBV"
8.926,36599,"253JBV"
2.6835,37190,"253JBV"
12.833,44503,"253JBV"
14.714,44511,"253JBV"
13.362,48589,"253JBV"
14.345,50140,"253JBV"
14.62,50715,"253JBV"
15,50727,"253JBV"
14.569,50753,"253JBV"
10.275,52123,"253JBV"
12.951,52430,"253JBV"
15,52576,"253JBV"
13.93,58455,"253JBV"
13.437,58472,"253JBV"
15.776,61775,"253JBV"
15,142931,"253JBV"
13.768,345041,"253JBV"
11.771,348997,"253JBV"
12.386,375256,"253JBV"
6.4696,375264,"253JBV"
15.561,375366,"253JBV"
13.806,375390,"253JBV"
16.634,375435,"253JBV"
12.55,375447,"253JBV"
14.805,375487,"253JBV"
13.577,375496,"253JBV"
13.401,375560,"253JBV"
13.084,375564,"253JBV"
12.031,375594,"253JBV"
16.314,397964,"253JBV"
15.678,402775,"253JBV"
14.064,404452,"253JBV"
10.698,404566,"253JBV"
14.42,410270,"253JBV"
17.781,410703,"253JBV"
18.33,414479,"253JBV"
18.198,415688,"253JBV"
15.75,416842,"253JBV"
17.754,417262,"253JBV"
18.569,429535,"253JBV"
17.467,437263,"253JBV"
16.219,437906,"253JBV"
17.448,438691,"253JBV"
13.738,438776,"253JBV"
14.419,442141,"253JBV"
16.589,447732,"253JBV"
15,449707,"253JBV"
15,463198,"253JBV"
17.483,600054,"253JBV"
12.364,18311,"BFTC905"
14.172,25036,"BFTC905"
15,26870,"BFTC905"
13.655,26914,"BFTC905"
13.104,26972,"BFTC905"
11.227,28172,"BFTC905"
14.55,29985,"BFTC905"
13.509,32372,"BFTC905"
11.24,32653,"BFTC905"
12.552,33166,"BFTC905"
7.8794,36599,"BFTC905"
5.9265,37190,"BFTC905"
13.205,39782,"BFTC905"
10.392,44503,"BFTC905"
17.49,44511,"BFTC905"
11.843,46792,"BFTC905"
13.334,48589,"BFTC905"
13.474,50715,"BFTC905"
16.925,50727,"BFTC905"
17.525,50753,"BFTC905"
13.984,52430,"BFTC905"
13.528,58455,"BFTC905"
15,61775,"BFTC905"
10.868,348997,"BFTC905"
12.626,375256,"BFTC905"
8.9266,375264,"BFTC905"
16.746,375366,"BFTC905"
12.75,375447,"BFTC905"
16.262,375487,"BFTC905"
13.756,375496,"BFTC905"
15.25,375560,"BFTC905"
11.263,375594,"BFTC905"
15,397964,"BFTC905"
16.169,402775,"BFTC905"
16.58,404452,"BFTC905"
9.9713,404566,"BFTC905"
18.199,415688,"BFTC905"
17.76,416842,"BFTC905"
16.628,417262,"BFTC905"
16.974,429535,"BFTC905"
15,437263,"BFTC905"
15,437906,"BFTC905"
8.1129,438564,"BFTC905"
17.681,438691,"BFTC905"
15.761,438776,"BFTC905"
16.207,442141,"BFTC905"
18.179,447732,"BFTC905"
15,449707,"BFTC905"
17.149,452570,"BFTC905"
17.161,600054,"BFTC905"
15.406,23256,"BFTC909"
13.859,25036,"BFTC909"
15.483,26870,"BFTC909"
13.966,26914,"BFTC909"
13.381,26972,"BFTC909"
13.73,27894,"BFTC909"
9.3856,28172,"BFTC909"
15.306,29985,"BFTC909"
14.459,32372,"BFTC909"
12.721,33166,"BFTC909"
8.0309,36599,"BFTC909"
5.0949,37190,"BFTC909"
13.756,39782,"BFTC909"
14.152,44511,"BFTC909"
11.814,46792,"BFTC909"
13.883,48589,"BFTC909"
17.214,50140,"BFTC909"
16.763,50715,"BFTC909"
14.668,50727,"BFTC909"
14.435,50753,"BFTC909"
12.771,52123,"BFTC909"
14.042,52430,"BFTC909"
15.838,52576,"BFTC909"
14.319,58472,"BFTC909"
17.113,61775,"BFTC909"
13.502,142931,"BFTC909"
13.853,345041,"BFTC909"
12.196,348997,"BFTC909"
11.745,375256,"BFTC909"
9.9198,375264,"BFTC909"
13.786,375354,"BFTC909"
15.522,375366,"BFTC909"
13.777,375390,"BFTC909"
14.708,375435,"BFTC909"
13.894,375447,"BFTC909"
15,375487,"BFTC909"
13.023,375496,"BFTC909"
15.333,375560,"BFTC909"
13.802,375564,"BFTC909"
11.679,375594,"BFTC909"
15.723,375596,"BFTC909"
15.566,397964,"BFTC909"
15.912,402775,"BFTC909"
14.931,404452,"BFTC909"
12.168,404566,"BFTC909"
15,410270,"BFTC909"
15.93,410703,"BFTC909"
16.743,414479,"BFTC909"
17.46,415688,"BFTC909"
16.254,416842,"BFTC909"
16.068,417262,"BFTC909"
17.9,429535,"BFTC909"
14.89,437263,"BFTC909"
15.723,437906,"BFTC909"
15,438564,"BFTC909"
16.241,438691,"BFTC909"
16.118,438776,"BFTC909"
16.312,442141,"BFTC909"
16.115,447732,"BFTC909"
15.048,449707,"BFTC909"
16.076,452570,"BFTC909"
14.749,463198,"BFTC909"
14.555,596868,"BFTC909"
15.805,608062,"BFTC909"
0.0835,45093,"CADOES1"
13.381,50727,"CADOES1"
8.0293,375264,"CADOES1"
12.207,375447,"CADOES1"
17.291,25036,"CAL120"
15,26870,"CAL120"
14.521,26914,"CAL120"
12.363,26972,"CAL120"
13.806,27894,"CAL120"
13.278,28172,"CAL120"
16.252,29985,"CAL120"
14.804,32372,"CAL120"
12.975,33166,"CAL120"
7.5757,37190,"CAL120"
16.235,39782,"CAL120"
13.873,44503,"CAL120"
16.21,44511,"CAL120"
14.291,45093,"CAL120"
13,46792,"CAL120"
14.999,48589,"CAL120"
14.915,50727,"CAL120"
16.06,50753,"CAL120"
14.607,52123,"CAL120"
14.521,52430,"CAL120"
15.932,52576,"CAL120"
17.44,61775,"CAL120"
14.956,345041,"CAL120"
14.083,348997,"CAL120"
13.715,375256,"CAL120"
11.937,375264,"CAL120"
14.481,375354,"CAL120"
15.247,375366,"CAL120"
13.714,375390,"CAL120"
15,375435,"CAL120"
14.792,375447,"CAL120"
17.375,375487,"CAL120"
14.233,375496,"CAL120"
14.452,375560,"CAL120"
13.999,375564,"CAL120"
11.899,375594,"CAL120"
16.878,375596,"CAL120"
15,397964,"CAL120"
15.905,402775,"CAL120"
16.098,404452,"CAL120"
9.8344,404566,"CAL120"
15.476,410270,"CAL120"
